loan_id,total_receivable_usd,total_eligible_usd,discounted_balance_usd,cash_available_usd,dpd_0_7_usd,dpd_7_30_usd,dpd_30_60_usd,dpd_60_90_usd,dpd_90_plus_usd,measurement_date,_tx_run_id,_tx_timestamp
looker_snapshot_20230131,441182.33999999997,441182.33999999997,441182.33999999997,0.0,441182.33999999997,0.0,0.0,0.0,0.0,2023-01-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20230228,597694.81,597694.81,597694.81,0.0,597694.81,0.0,0.0,0.0,0.0,2023-02-28,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20230331,745470.35,745470.35,745470.35,0.0,745470.35,0.0,0.0,0.0,0.0,2023-03-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20230430,813219.84,813219.84,813219.84,0.0,813219.84,0.0,0.0,0.0,0.0,2023-04-30,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20230531,736470.62,736470.62,736470.62,0.0,736470.62,0.0,0.0,0.0,0.0,2023-05-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20230630,773254.86,773254.86,773254.86,0.0,773254.86,0.0,0.0,0.0,0.0,2023-06-30,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20230731,838411.05,838411.05,838411.05,0.0,838411.05,0.0,0.0,0.0,0.0,2023-07-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20230831,889994.96,889994.96,889994.96,0.0,889994.96,0.0,0.0,0.0,0.0,2023-08-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20230930,940805.92,940805.92,940805.92,0.0,940805.92,0.0,0.0,0.0,0.0,2023-09-30,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20231031,1072328.56,1072328.56,1072328.56,0.0,1042219.71,30108.85,0.0,0.0,0.0,2023-10-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20231130,1311118.73,1311118.73,1311118.73,0.0,1289326.71,21792.02,0.0,0.0,0.0,2023-11-30,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20231231,1389544.71,1389544.71,1389544.71,0.0,1333399.3,40520.229999999996,15625.18,0.0,0.0,2023-12-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20240131,1451512.6,1451512.6,1451512.6,0.0,1308491.6,57607.26,76127.62,9286.119999999999,0.0,2024-01-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20240229,1490494.67,1490494.67,1490494.67,0.0,1339809.4,31814.55,57607.26,51977.34,9286.119999999999,2024-02-29,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20240331,1508035.78,1508035.78,1508035.78,0.0,1220062.75,136282.38,65563.93,36791.96,49334.76,2024-03-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20240430,1626700.68,1626700.68,1626700.68,0.0,1310697.75,36853.770000000004,178670.41,65563.93,34914.82,2024-04-30,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20240531,1907880.47,1907880.47,1907880.47,0.0,1563989.06,59177.96,37340.63,168037.38,79335.44,2024-05-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20240630,2203488.4,2203488.4,2203488.4,0.0,1858216.48,31851.82,40997.2,36853.770000000004,235569.13,2024-06-30,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20240731,2229615.97,2229615.97,2229615.97,0.0,1868836.11,48217.17,27620.699999999997,35884.59,249057.4,2024-07-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20240831,2401895.41,2401895.41,2401895.41,0.0,2074296.29,58060.82,27330.58,17289.739999999998,224917.98,2024-08-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20240930,2632628.36,2632628.36,2632628.36,0.0,2218881.83,173142.53999999998,127070.25,27330.58,86203.16,2024-09-30,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20241031,2457439.0,2457439.0,2457439.0,0.0,1988722.93,169052.4,149122.58,98023.95,52517.14,2024-10-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20241130,2471252.73,2471252.73,2471252.73,0.0,2006087.53,176693.68,103987.73,92649.33,91834.45999999999,2024-11-30,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20241231,2782334.52,2782334.52,2782334.52,0.0,2276062.29,194135.75,91976.11,113576.17,106584.2,2024-12-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20250131,2733089.79,2733089.79,2733089.79,0.0,2161961.7399999998,228074.74000000002,114882.02,65418.5,162752.79,2025-01-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20250228,3341776.73,3341776.73,3341776.73,0.0,2928113.27,167988.52,34516.71,38706.22,172452.01,2025-02-28,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20250331,4346190.26,4346190.26,4346190.26,0.0,3609771.65,390232.61,154221.81,13228.560000000001,178735.63,2025-03-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20250430,4775001.72,4775001.72,4775001.72,0.0,4411474.0600000005,98995.16,49794.81,73829.26,140908.43,2025-04-30,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20250531,4774329.37,4774329.37,4774329.37,0.0,4413476.17,198387.25,54131.36,11760.59,96574.0,2025-05-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20250630,5716949.47,5716949.47,5716949.47,0.0,5214103.22,295736.58,100318.27,30758.559999999998,76032.84,2025-06-30,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20250731,6068816.96,6068816.96,6068816.96,0.0,5552628.76,161497.16,219976.87,55097.89,79616.28,2025-07-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20250831,6585728.78,6585728.78,6585728.78,0.0,6103204.71,141395.03,108096.68000000001,160781.8,72250.56,2025-08-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20250930,6715797.46,6715797.46,6715797.46,0.0,6181643.53,222245.0,94375.22,51915.92999999999,165617.78,2025-09-30,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20251031,7574415.89,7574415.89,7574415.89,0.0,7124931.51,164924.77,119311.23,825.61,164422.77,2025-10-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20251130,7813806.55,7813806.55,7813806.55,0.0,7356838.92,198689.79,81281.61,52442.73,124553.5,2025-11-30,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
looker_snapshot_20251231,6668167.81,6668167.81,6668167.81,0.0,6243509.6,191084.85,126411.48,29348.620000000003,77813.26,2025-12-31,run_2466a2d12357,2026-01-22T10:34:15.174203+00:00
