loan_id_raw,reporting_date,dpd,dpd_date,is_writeoff,writeoff_type,loan_ccy,outstanding_balance,writeoff_outstanding_balance,xchg_rate_to_usd,outstanding_balance_usd,writeoff_outstanding_balance_usd,PAR_7_balance_usd,PAR_30_balance_usd,PAR_60_balance_usd,PAR_90_balance_usd
ABF - DSB0007-001,2023-01-31,0,,false,,USD,2535.0,0.0,1,2535.0,0.0,0.0,0.0,0.0,0.0
ABF - DSB0008-001,2023-01-31,0,,false,,USD,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
ABF - DSB0009-001,2023-01-31,0,,false,,USD,546.92,0.0,1,546.92,0.0,0.0,0.0,0.0,0.0
ABF - DSB0010-001,2023-01-31,0,,false,,USD,1604.67,0.0,1,1604.67,0.0,0.0,0.0,0.0,0.0
ABF - DSB0011-001,2023-01-31,0,,false,,USD,1145.64,0.0,1,1145.64,0.0,0.0,0.0,0.0,0.0
ABF - DSB0011-002,2023-01-31,0,,false,,USD,572.82,0.0,1,572.82,0.0,0.0,0.0,0.0,0.0
ABF - DSB0011-003,2023-01-31,0,,false,,USD,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
ABF - DSB0011-004,2023-01-31,0,,false,,USD,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
ABF - DSB0011-005,2023-01-31,0,,false,,USD,124.21,0.0,1,124.21,0.0,0.0,0.0,0.0,0.0
ABF - DSB0012-001,2023-01-31,0,,false,,USD,71.6,0.0,1,71.6,0.0,0.0,0.0,0.0,0.0
ABF - DSB0012-002,2023-01-31,0,,false,,USD,289.06,0.0,1,289.06,0.0,0.0,0.0,0.0,0.0
ABF - DSB0012-003,2023-01-31,0,,false,,USD,300.33,0.0,1,300.33,0.0,0.0,0.0,0.0,0.0
ABF - DSB0012-004,2023-01-31,0,,false,,USD,52.5,0.0,1,52.5,0.0,0.0,0.0,0.0,0.0
ABF - DSB0012-005,2023-01-31,0,,false,,USD,182.55,0.0,1,182.55,0.0,0.0,0.0,0.0,0.0
ABF - DSB0012-006,2023-01-31,0,,false,,USD,16.9,0.0,1,16.9,0.0,0.0,0.0,0.0,0.0
ABF - DSB0012-007,2023-01-31,0,,false,,USD,316.46,0.0,1,316.46,0.0,0.0,0.0,0.0,0.0
ABF - DSB0012-008,2023-01-31,0,,false,,USD,418.59,0.0,1,418.59,0.0,0.0,0.0,0.0,0.0
ABF - DSB0012-009,2023-01-31,0,,false,,USD,462.87,0.0,1,462.87,0.0,0.0,0.0,0.0,0.0
ABF - DSB0012-010,2023-01-31,0,,false,,USD,327.78,0.0,1,327.78,0.0,0.0,0.0,0.0,0.0
ABF - DSB0013-001,2023-01-31,0,,false,,USD,2028.12,0.0,1,2028.12,0.0,0.0,0.0,0.0,0.0
ABF - DSB0014-001,2023-01-31,0,,false,,USD,12702.0,0.0,1,12702.0,0.0,0.0,0.0,0.0,0.0
ABF - DSB0015-001,2023-01-31,0,,false,,USD,203.59,0.0,1,203.59,0.0,0.0,0.0,0.0,0.0
ABF - DSB0015-002,2023-01-31,0,,false,,USD,619.88,0.0,1,619.88,0.0,0.0,0.0,0.0,0.0
ABF - DSB0015-003,2023-01-31,0,,false,,USD,62.13,0.0,1,62.13,0.0,0.0,0.0,0.0,0.0
ABF - DSB0015-004,2023-01-31,0,,false,,USD,218.62,0.0,1,218.62,0.0,0.0,0.0,0.0,0.0
ABF - DSB0015-005,2023-01-31,0,,false,,USD,439.79,0.0,1,439.79,0.0,0.0,0.0,0.0,0.0
ABF - DSB0015-006,2023-01-31,0,,false,,USD,418.5,0.0,1,418.5,0.0,0.0,0.0,0.0,0.0
ABF - DSB0015-007,2023-01-31,0,,false,,USD,146.54,0.0,1,146.54,0.0,0.0,0.0,0.0,0.0
ABF - DSB0015-008,2023-01-31,0,,false,,USD,313.51,0.0,1,313.51,0.0,0.0,0.0,0.0,0.0
ABF - DSB0015-009,2023-01-31,0,,false,,USD,162.1,0.0,1,162.1,0.0,0.0,0.0,0.0,0.0
ABF - DSB0015-010,2023-01-31,0,,false,,USD,225.38,0.0,1,225.38,0.0,0.0,0.0,0.0,0.0
ABF - DSB0015-011,2023-01-31,0,,false,,USD,331.73,0.0,1,331.73,0.0,0.0,0.0,0.0,0.0
ABF - DSB0015-012,2023-01-31,0,,false,,USD,172.91,0.0,1,172.91,0.0,0.0,0.0,0.0,0.0
ABF - DSB0015-013,2023-01-31,0,,false,,USD,138.53,0.0,1,138.53,0.0,0.0,0.0,0.0,0.0
ABF - DSB0015-014,2023-01-31,0,,false,,USD,251.87,0.0,1,251.87,0.0,0.0,0.0,0.0,0.0
ABF - DSB0015-015,2023-01-31,0,,false,,USD,62.13,0.0,1,62.13,0.0,0.0,0.0,0.0,0.0
