loan_id,maturity_date,customer_id,application_date,disburse_date,pledge_date,product_type,loan_grade,lender,facility,total_fees,total_other,total_interest,credit_bureau_score,term,frequency,interest_rate,disburse_principal,outstanding_balance,currency,dpd,ratio_paid,loan_status,amount_buckets,company,loan_counts,term_buckets,location_state_province
ABF - DSB0007-001,2023-05-31,CLI1159,,2023-01-03,,factoring,,,,13.27,0.0,450.0,,148,One-time,0.451,2535.0,0.0,USD,0,1.0,Complete,2.5K-5K,ABF,1,121-180 Days,Not Provided
ABF - DSB0008-001,2023-01-13,CLI2509,,2023-01-03,,factoring,,,,13.27,0.0,200.0,,10,One-time,2.3,3385.0,0.0,USD,0,1.0,Complete,2.5K-5K,ABF,1,0-10 Days,Cuscatlán
ABF - DSB0009-001,2023-02-04,CLI2038,,2023-01-03,,factoring,,,,8.85,0.0,39.31,,32,One-time,1.004,546.92,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,1,31-45 Days,San Salvador
ABF - DSB0010-001,2023-02-16,CLI0211,,2023-01-03,,factoring,,,,13.27,0.0,142.91,,44,One-time,0.807,1604.67,0.0,USD,0,1.0,Complete,1K-2.5K,ABF,1,31-45 Days,Ahuachapán
ABF - DSB0011-001,2023-02-11,CLI2512,,2023-01-03,,factoring,,,,5.31,0.0,81.29,,39,One-time,0.708,1145.64,0.0,USD,0,1.0,Complete,1K-2.5K,ABF,1,31-45 Days,San Salvador
ABF - DSB0011-002,2023-02-11,CLI2512,,2023-01-03,,factoring,,,,2.66,0.0,40.65,,39,One-time,0.708,572.82,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,2,31-45 Days,San Salvador
ABF - DSB0011-003,2023-01-26,CLI2512,,2023-01-03,,factoring,,,,3.93,0.0,40.1,,23,One-time,0.824,847.6,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,3,21-30 Days,San Salvador
ABF - DSB0011-004,2023-01-26,CLI2512,,2023-01-03,,factoring,,,,0.79,0.0,8.06,,23,One-time,0.824,170.47,0.0,USD,0,1.0,Complete,0-0.5K,ABF,4,21-30 Days,San Salvador
ABF - DSB0011-005,2023-02-08,CLI2512,,2023-01-03,,factoring,,,,0.58,0.0,8.81,,36,One-time,0.767,124.21,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,31-45 Days,San Salvador
ABF - DSB0012-001,2023-02-09,CLI2043,,2023-01-04,,factoring,,,,0.39,0.0,4.58,,36,One-time,0.704,71.6,0.0,USD,0,1.0,Complete,0-0.5K,ABF,1,31-45 Days,La Libertad
ABF - DSB0012-002,2023-02-09,CLI2043,,2023-01-04,,factoring,,,,1.57,0.0,18.48,,36,One-time,0.703,289.06,0.0,USD,0,1.0,Complete,0-0.5K,ABF,2,31-45 Days,La Libertad
ABF - DSB0012-003,2023-02-09,CLI2043,,2023-01-04,,factoring,,,,1.63,0.0,19.2,,36,One-time,0.703,300.33,0.0,USD,0,1.0,Complete,0-0.5K,ABF,3,31-45 Days,La Libertad
ABF - DSB0012-004,2023-02-09,CLI2043,,2023-01-04,,factoring,,,,0.29,0.0,3.36,,36,One-time,0.705,52.5,0.0,USD,0,1.0,Complete,0-0.5K,ABF,4,31-45 Days,La Libertad
ABF - DSB0012-005,2023-02-09,CLI2043,,2023-01-04,,factoring,,,,0.99,0.0,11.67,,36,One-time,0.703,182.55,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,31-45 Days,La Libertad
ABF - DSB0012-006,2023-02-09,CLI2043,,2023-01-04,,factoring,,,,0.09,0.0,1.08,,36,One-time,0.702,16.9,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,31-45 Days,La Libertad
ABF - DSB0012-007,2023-02-04,CLI2043,,2023-01-04,,factoring,,,,1.72,0.0,20.23,,31,One-time,0.817,316.46,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,31-45 Days,La Libertad
ABF - DSB0012-008,2023-02-04,CLI2043,,2023-01-04,,factoring,,,,2.28,0.0,26.76,,31,One-time,0.817,418.59,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,31-45 Days,La Libertad
ABF - DSB0012-009,2023-02-09,CLI2043,,2023-01-04,,factoring,,,,2.52,0.0,29.59,,36,One-time,0.703,462.87,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,31-45 Days,La Libertad
ABF - DSB0012-010,2023-02-09,CLI2043,,2023-01-04,,factoring,,,,1.78,0.0,20.95,,36,One-time,0.703,327.78,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,31-45 Days,La Libertad
ABF - DSB0013-001,2023-08-11,CLI1464,,2023-01-04,,factoring,,,,13.27,0.0,360.55,,219,One-time,0.307,2028.12,0.0,USD,0,1.0,Complete,1K-2.5K,ABF,1,>180 Days,San Salvador
ABF - DSB0014-001,2023-03-28,CLI2124,,2023-01-04,,factoring,,,,42.48,0.0,1620.0,,83,One-time,0.576,12702.0,0.0,USD,0,1.0,Complete,10K-50K,ABF,1,61-90 Days,Sonsonate
