loan_id,transaction_type,date_paid,principal,interest,other,fees,to_tax,add_balance,reduce_balance,currency
ABF - DSB0007-001,DISBURSEMENT,2023-01-03,2535.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0008-001,DISBURSEMENT,2023-01-03,3385.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0009-001,DISBURSEMENT,2023-01-03,546.92,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0010-001,DISBURSEMENT,2023-01-03,1604.67,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0011-001,DISBURSEMENT,2023-01-03,1145.64,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0011-002,DISBURSEMENT,2023-01-03,572.82,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0011-003,DISBURSEMENT,2023-01-03,847.6,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0011-004,DISBURSEMENT,2023-01-03,170.47,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0011-005,DISBURSEMENT,2023-01-03,124.21,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0012-001,DISBURSEMENT,2023-01-04,71.6,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0012-002,DISBURSEMENT,2023-01-04,289.06,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0012-003,DISBURSEMENT,2023-01-04,300.33,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0012-004,DISBURSEMENT,2023-01-04,52.5,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0012-005,DISBURSEMENT,2023-01-04,182.55,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0012-006,DISBURSEMENT,2023-01-04,16.9,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0012-007,DISBURSEMENT,2023-01-04,316.46,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0012-008,DISBURSEMENT,2023-01-04,418.59,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0012-009,DISBURSEMENT,2023-01-04,462.87,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0012-010,DISBURSEMENT,2023-01-04,327.78,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0013-001,DISBURSEMENT,2023-01-04,2028.12,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0014-001,DISBURSEMENT,2023-01-04,12702.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0015-001,DISBURSEMENT,2023-01-05,203.59,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0015-002,DISBURSEMENT,2023-01-05,619.88,0.0,0.0,0.0,0.0,0.0,0.0,USD
ABF - DSB0015-003,DISBURSEMENT,2023-01-05,62.13,0.0,0.0,0.0,0.0,0.0,0.0,USD
