Mes,Outstanding_Gobierno_USD,Clientes_Unicos_Gobierno,Prestamos_Vivos_Gobierno,Variacion_Mensual_Pct,Porcentaje_Cartera_Total,DPD_Promedio_Gobierno,NPL_Gobierno_Pct,Confirmacion_Pago_Historic
2025-01-31,1287440,52,187,0.0,21.8,94,0.0,"100% pagados (promedio +94 días)"
2025-02-28,1398220,58,201,8.6,23.1,91,0.0,"100% pagados (promedio +91 días)"
2025-03-31,1512800,63,218,8.2,24.0,89,0.0,"100% pagados (promedio +89 días)"
2025-04-30,1687300,68,232,11.5,25.6,87,0.0,"100% pagados (promedio +87 días)"
2025-05-31,1918220,71,241,13.7,26.8,88,0.0,"100% pagados (promedio +88 días)"
2025-06-30,1722100,74,256,-10.2,25.1,85,0.0,"100% pagados (promedio +85 días)"
2025-07-31,1846300,79,268,7.2,26.3,83,0.0,"100% pagados (promedio +83 días)"
2025-08-31,1918220,82,274,3.9,26.8,81,0.0,"100% pagados (promedio +81 días)"
2025-09-30,2187450,87,292,14.0,29.4,79,0.0,"100% pagados (promedio +79 días)"
2025-10-31,2398700,91,306,9.7,31.1,78,0.0,"100% pagados (promedio +78 días)"
2025-11-26,2637840,94,318,10.0,32.4,81,0.0,"100% pagados (promedio +81 días)"
