Quarter,Ventas_USD_MM,Recurrencia_Pct,Clientes_EOP,CAC_USD,LTV_Realized_USD,LTV_CAC_Ratio
2023-Q1,0.62,93.61,63,0.0,9233.87,0.0
2023-Q2,0.55,95.0,74,0.0,0.0,0.0
2023-Q3,0.54,96.32,84,0.0,36580.32,0.0
2023-Q4,0.79,96.67,96,0.0,3292.73,0.0
2024-Q1,0.59,95.71,110,4750.0,7055.17,1.49
2024-Q2,1.12,73.58,161,0.0,7763.58,0.0
2024-Q3,1.54,64.5,215,0.0,7683.05,0.0
2024-Q4,1.75,60.28,254,0.0,3068.74,0.0
2025-Q1,2.45,58.43,267,0.0,23703.54,0.0
2025-Q2,3.91,80.78,290,0.0,4089.06,0.0
2025-Q3,3.69,67.02,310,0.0,1657.93,0.0
2025-Q4,3.97,67.88,335,0.0,184.65,0.0
