feature,iv,predictive_power,n_bins,woe_range,dtype
loan_age_days,5.1016,Strong,8,9.7576,numerical
interest_rate_apr,1.8994,Strong,8,10.6323,numerical
term,1.6887,Strong,8,9.7438,numerical
pagador,1.3703,Strong,4,4.8259,categorical
industry,1.3395,Strong,6,5.6104,categorical
cliente,1.1368,Strong,4,3.439,categorical
payment_amount_std,0.9489,Strong,8,4.4532,numerical
late_payment_rate,0.6503,Strong,5,1.9412,numerical
n_late_payments,0.46,Strong,4,1.3868,numerical
max_consecutive_late,0.46,Strong,4,1.3868,numerical
disbursement_amount,0.4442,Strong,9,4.506,numerical
tpv,0.4101,Strong,9,4.2596,numerical
equifax_score,0.3507,Strong,5,2.5871,numerical
origination_fee,0.3392,Strong,8,4.5232,numerical
origination_fee_taxes,0.2627,Medium,6,3.0335,numerical
n_payments,0.0754,Weak,4,0.6831,numerical
company,0.0019,Useless,4,0.1339,categorical
application_id,0.0,Useless,3,0.0,categorical
outstanding_loan_value,0.0,Useless,3,0.0,numerical
days_in_default,0.0,Useless,3,0.0,numerical
loan_status,0.0,Useless,3,0.0,categorical
