loan_id,date_due,principal,interest,other,fees,to_tax,add_balance,reduce_balance,currency
ABF - DSB0008-001,2023-01-13,3385.0,200.0,0.0,13.27,27.73,0.0,0.0,USD
ABF - DSB0033-001,2023-01-24,126.79,3.5,0.0,0.54,0.53,0.0,0.0,USD
ABF - DSB0033-002,2023-01-24,1166.51,32.2,0.0,4.93,4.83,0.0,0.0,USD
ABF - DSB0011-003,2023-01-26,847.6,40.1,0.0,3.93,5.72,0.0,0.0,USD
ABF - DSB0011-004,2023-01-26,170.47,8.06,0.0,0.79,1.15,0.0,0.0,USD
ABF - DSB0019-004,2023-01-26,367.85,17.38,0.0,1.23,2.42,0.0,0.0,USD
ABF - DSB0027-002,2023-01-27,484.6,19.25,0.0,1.7,2.72,0.0,0.0,USD
ABF - DSB0027-008,2023-01-27,647.48,25.72,0.0,2.27,3.64,0.0,0.0,USD
ABF - DSB0027-009,2023-01-27,670.01,26.61,0.0,2.35,3.77,0.0,0.0,USD
ABF - DSB0062-001,2023-01-27,9079.43,253.54,0.0,42.48,38.48,0.0,0.0,USD
ABF - DSB0027-003,2023-01-30,252.89,10.04,0.0,0.89,1.43,0.0,0.0,USD
ABF - DSB0027-011,2023-01-30,1076.08,42.74,0.0,3.78,6.05,0.0,0.0,USD
ABF - DSB0027-012,2023-01-30,1030.4,40.92,0.0,3.62,5.79,0.0,0.0,USD
ABF - DSB0042-002,2023-01-30,8133.38,322.98,0.0,27.24,45.53,0.0,0.0,USD
ABF - DSB0048-001,2023-01-30,944.55,26.65,0.0,13.27,5.2,0.0,0.0,USD
ABF - DSB0042-003,2023-01-31,2594.86,103.04,0.0,8.69,14.53,0.0,0.0,USD
ABF - DSB0045-001,2023-01-31,3206.69,136.45,0.0,13.27,19.47,0.0,0.0,USD
ABF - DSB0019-001,2023-02-01,2489.59,117.6,0.0,8.33,16.37,0.0,0.0,USD
ABF - DSB0028-001,2023-02-01,1556.27,73.64,0.0,7.59,10.56,0.0,0.0,USD
ABF - DSB0043-005,2023-02-01,890.51,35.39,0.0,3.67,5.08,0.0,0.0,USD
ABF - DSB0033-003,2023-02-02,228.23,9.07,0.0,0.96,1.31,0.0,0.0,USD
ABF - DSB0033-004,2023-02-02,253.59,10.08,0.0,1.07,1.45,0.0,0.0,USD
ABF - DSB0058-001,2023-02-02,208.63,6.22,0.0,2.38,1.12,0.0,0.0,USD
ABF - DSB0058-002,2023-02-02,11.86,0.35,0.0,0.14,0.07,0.0,0.0,USD
ABF - DSB0058-003,2023-02-02,98.62,2.94,0.0,1.12,0.53,0.0,0.0,USD
ABF - DSB0058-004,2023-02-02,249.4,7.43,0.0,2.84,1.34,0.0,0.0,USD
ABF - DSB0026-006,2023-02-03,1699.56,72.32,0.0,7.03,10.31,0.0,0.0,USD
ABF - DSB0027-010,2023-02-03,501.37,19.91,0.0,1.76,2.82,0.0,0.0,USD
ABF - DSB0029-005,2023-02-03,71.59,3.39,0.0,0.4,0.49,0.0,0.0,USD
ABF - DSB0030-001,2023-02-03,2873.28,128.37,0.0,13.27,18.42,0.0,0.0,USD
ABF - DSB0031-002,2023-02-03,935.8,37.33,0.0,6.85,5.74,0.0,0.0,USD
ABF - DSB0036-002,2023-02-03,280.9,16.75,0.0,3.45,2.63,0.0,0.0,USD
ABF - DSB0060-001,2023-02-03,9285.53,369.24,0.0,42.48,53.52,0.0,0.0,USD
ABF - DSB0074-001,2023-02-03,1821.0,54.0,0.0,13.27,8.75,0.0,0.0,USD
ABF - DSB0076-001,2023-02-03,215.81,6.44,0.0,2.79,1.2,0.0,0.0,USD
ABF - DSB0009-001,2023-02-04,546.92,39.31,0.0,8.85,6.26,0.0,0.0,USD
ABF - DSB0012-007,2023-02-04,316.46,20.23,0.0,1.72,2.85,0.0,0.0,USD
ABF - DSB0012-008,2023-02-04,418.59,26.76,0.0,2.28,3.78,0.0,0.0,USD
ABF - DSB0026-004,2023-02-04,134.08,5.71,0.0,0.55,0.81,0.0,0.0,USD
ABF - DSB0026-005,2023-02-04,301.15,12.81,0.0,1.25,1.83,0.0,0.0,USD
ABF - DSB0027-006,2023-02-04,252.89,10.04,0.0,0.89,1.43,0.0,0.0,USD
ABF - DSB0075-002,2023-02-04,4108.06,113.36,0.0,16.1,16.83,0.0,0.0,USD
ABF - DSB0032-001,2023-02-06,1017.54,60.74,0.0,13.27,9.63,0.0,0.0,USD
ABF - DSB0037-003,2023-02-06,284.64,12.71,0.0,1.22,1.81,0.0,0.0,USD
ABF - DSB0027-007,2023-02-07,301.51,17.96,0.0,1.06,2.48,0.0,0.0,USD
ABF - DSB0011-005,2023-02-08,124.21,8.81,0.0,0.58,1.22,0.0,0.0,USD
ABF - DSB0012-001,2023-02-09,71.6,4.58,0.0,0.39,0.64,0.0,0.0,USD
ABF - DSB0012-002,2023-02-09,289.06,18.48,0.0,1.57,2.6,0.0,0.0,USD
ABF - DSB0012-003,2023-02-09,300.33,19.2,0.0,1.63,2.71,0.0,0.0,USD
ABF - DSB0012-004,2023-02-09,52.5,3.36,0.0,0.29,0.48,0.0,0.0,USD
ABF - DSB0012-005,2023-02-09,182.55,11.67,0.0,0.99,1.65,0.0,0.0,USD
ABF - DSB0012-006,2023-02-09,16.9,1.08,0.0,0.09,0.15,0.0,0.0,USD
ABF - DSB0012-009,2023-02-09,462.87,29.59,0.0,2.52,4.18,0.0,0.0,USD
ABF - DSB0012-010,2023-02-09,327.78,20.95,0.0,1.78,2.95,0.0,0.0,USD
ABF - DSB0042-001,2023-02-09,1953.56,77.58,0.0,6.54,10.93,0.0,0.0,USD
ABF - DSB0015-001,2023-02-10,203.59,13.0,0.0,0.88,1.8,0.0,0.0,USD
ABF - DSB0015-002,2023-02-10,619.88,39.57,0.0,2.68,5.49,0.0,0.0,USD
ABF - DSB0015-003,2023-02-10,62.13,3.97,0.0,0.27,0.55,0.0,0.0,USD
ABF - DSB0015-004,2023-02-10,218.62,13.96,0.0,0.94,1.93,0.0,0.0,USD
ABF - DSB0015-005,2023-02-10,439.79,28.08,0.0,1.9,3.9,0.0,0.0,USD
ABF - DSB0015-006,2023-02-10,418.5,26.72,0.0,1.81,3.7,0.0,0.0,USD
ABF - DSB0015-007,2023-02-10,146.54,9.35,0.0,0.63,1.3,0.0,0.0,USD
ABF - DSB0015-008,2023-02-10,313.51,20.01,0.0,1.35,2.78,0.0,0.0,USD
ABF - DSB0015-009,2023-02-10,162.1,10.35,0.0,0.7,1.44,0.0,0.0,USD
ABF - DSB0015-010,2023-02-10,225.38,14.39,0.0,0.97,2.0,0.0,0.0,USD
ABF - DSB0015-011,2023-02-10,331.73,21.18,0.0,1.43,2.94,0.0,0.0,USD
ABF - DSB0015-012,2023-02-10,172.91,11.04,0.0,0.75,1.54,0.0,0.0,USD
ABF - DSB0015-013,2023-02-10,138.53,8.84,0.0,0.6,1.23,0.0,0.0,USD
ABF - DSB0015-014,2023-02-10,251.87,16.08,0.0,1.09,2.23,0.0,0.0,USD
ABF - DSB0015-015,2023-02-10,62.13,3.97,0.0,0.27,0.55,0.0,0.0,USD
ABF - DSB0015-016,2023-02-10,297.84,19.01,0.0,1.29,2.64,0.0,0.0,USD
